date,last,volume,open,high,low,stock
2025-02-07,$129.84,228186300,$129.22,$130.37,$125.00,NVDA
2025-02-07,$227.63,39707220,$232.60,$234.00,$227.26,AAPL
2025-02-07,$107.56,46082500,$109.13,$109.92,$106.79,AMD
2025-02-07,$409.75,22886840,$416.48,$418.65,$408.10,MSFT
2025-02-07,$229.15,77539280,$232.50,$234.81,$228.06,AMZN
2025-02-07,$187.14,29565720,$192.74,$193.015,$185.10,GOOG
2025-02-07,$714.52,16427070,$716.795,$725.01,$711.75,META
2025-02-07,$224.87,22117470,$235.00,$235.65,$224.11,AVGO
2025-02-07,$206.12,11616200,$213.01,$213.18,$205.72,TSM
2025-02-10,$133.57,216989100,$130.09,$135.00,$129.96,NVDA
2025-02-10,$227.65,33115650,$229.57,$230.585,$227.20,AAPL
2025-02-10,$110.48,34905360,$108.44,$111.40,$108.15,AMD
2025-02-10,$412.22,20817920,$413.71,$415.4624,$410.92,MSFT
2025-02-10,$233.14,35419930,$230.545,$233.92,$229.20,AMZN
2025-02-10,$188.20,16606020,$189.06,$189.99,$187.61,GOOG
2025-02-10,$717.40,12904320,$718.56,$721.20,$711.33,META
2025-02-10,$235.04,23901640,$227.43,$235.82,$227.12,AVGO
2025-02-10,$207.95,9296479,$208.00,$209.98,$206.53,TSM
2025-02-11,$132.80,178902400,$132.58,$134.48,$131.02,NVDA
2025-02-11,$232.62,53718360,$228.20,$235.23,$228.13,AAPL
2025-02-11,$111.10,35033760,$108.98,$113.07,$108.94,AMD
2025-02-11,$411.44,18140590,$409.64,$412.49,$409.30,MSFT
2025-02-11,$232.76,23713730,$231.92,$233.44,$230.13,AMZN
2025-02-11,$187.07,13028100,$186.835,$188.80,$186.08,GOOG
2025-02-11,$719.80,12997960,$713.32,$723.66,$710.04,META
2025-02-11,$235.04,18476200,$232.48,$237.89,$229.9739,AVGO
2025-02-11,$208.74,9224508,$205.13,$209.84,$201.00,TSM
2025-02-12,$131.14,160278600,$130.02,$132.24,$129.08,NVDA
2025-02-12,$236.87,45243290,$231.20,$236.96,$230.68,AAPL
2025-02-12,$111.72,25319730,$109.52,$111.8356,$109.0649,AMD
2025-02-12,$409.04,19121730,$407.21,$410.75,$404.3673,MSFT
2025-02-12,$228.93,32285250,$230.46,$231.18,$228.16,AMZN
2025-02-12,$185.43,17632310,$185.23,$186.83,$183.63,GOOG
2025-02-12,$725.38,12016520,$715.30,$727.10,$712.60,META
2025-02-12,$236.35,16397340,$230.355,$236.48,$230.00,AVGO
2025-02-12,$206.38,7373675,$204.90,$207.0691,$203.01,TSM
2025-02-13,$135.29,197430000,$131.555,$136.50,$131.17,NVDA
2025-02-13,$241.53,53614050,$236.91,$242.3399,$235.57,AAPL
2025-02-13,$111.81,40911800,$112.00,$114.60,$110.40,AMD
2025-02-13,$410.54,23891730,$407.00,$411.00,$406.36,MSFT
2025-02-13,$230.37,31346510,$228.85,$230.42,$227.52,AMZN
2025-02-13,$187.88,12729330,$185.93,$187.99,$184.88,GOOG
2025-02-13,$728.56,12569060,$721.52,$729.00,$718.04,META
2025-02-13,$235.80,20962030,$236.06,$236.95,$230.7276,AVGO
2025-02-13,$201.83,15580930,$201.88,$202.30,$199.23,TSM
2025-02-14,$138.85,195479600,$136.48,$139.25,$135.50,NVDA
2025-02-14,$244.60,40896230,$241.25,$245.55,$240.99,AAPL
2025-02-14,$113.10,32477160,$112.65,$114.63,$111.70,AMD
2025-02-14,$408.43,22758460,$407.79,$408.91,$405.88,MSFT
2025-02-14,$228.68,27031080,$229.20,$229.89,$227.23,AMZN
